mean_velocity,max_velocity,min_velocity,std_velocity,range_velocity,total_energy,rms_velocity,zero_crossing_rate,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7.500383397147059e-13,1.509708303547442e-09,-1.3709965927069341e-09,7.662187768196985e-11,2.880704896254376e-09,1.174236230282287e-16,7.662363311284212e-11,12,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5.610779976359885e-14,1.122155995271977e-09,0.0,7.934841138059958e-12,1.122155995271977e-09,1.2592340777248412e-18,7.934841138059543e-12,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-1.0802850423290449e-13,0.0,-1.147129609296689e-09,1.0823242760507458e-11,1.147129609296689e-09,2.342967937625917e-18,1.0823511300927063e-11,2,0
-2.521142073752662e-12,1.879302788154128e-09,-1.685425752185683e-09,1.4611119027985736e-10,3.5647285403398112e-09,4.270753731671299e-16,1.461292874763868e-10,19,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-5.0184524094226e-14,0.0,-1.00369048188452e-09,7.0971634595293484e-12,1.00369048188452e-09,1.0073945834255801e-18,7.0971634595293775e-12,2,0
-3.7998604341182335e-13,1.4671435821008402e-09,-1.39450491989741e-09,1.639109298372938e-10,2.8616485019982503e-09,5.3731187939777e-16,1.639072724740684e-10,62,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5.226843962836975e-14,1.045368792567395e-09,0.0,7.39187362065239e-12,1.045368792567395e-09,1.0927959124738133e-18,7.391873620651983e-12,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-2.89614023956279e-12,1.461740403434674e-09,-1.55614368792795e-09,1.0825840612392345e-10,3.0178840913626243e-09,2.3455368261295577e-16,1.082944325930368e-10,14,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-9.313620026480291e-14,1.270161177631339e-09,-1.179104213064218e-09,4.386939999812197e-11,2.449265390695557e-09,1.3350484947879067e-17,4.38663372261376e-11,16,0
-5.404120778341709e-12,7.874025895059157e-09,-8.185282526529094e-09,1.5124735670796505e-09,1.6059308421588253e-08,4.57498223364375e-14,1.5124454095344647e-09,6207,1
-1.0639940400957169e-11,2.463982914273043e-09,-2.500374889535324e-09,2.635513267410923e-10,4.9643578038083666e-09,1.3913807438716759e-15,2.637594305301401e-10,317,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1.2018956755289366e-12,1.182548829208685e-09,0.0,3.6249622970929545e-11,1.182548829208685e-09,2.630828033982111e-17,3.6268636822895005e-11,6,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
